t;T_B;V_B
1112;20.3735;1.09796
1113;20.3701;1.09748
1114;20.3667;1.097
1115;20.3634;1.09653
1116;20.3601;1.09606
1117;20.3568;1.09559
1118;20.3535;1.09512
1119;20.3503;1.09465
1120;20.3471;1.09419
1121;20.3439;1.09373
1122;20.3408;1.09327
1123;20.3377;1.09282
1124;20.3346;1.09236
1125;20.3315;1.09191
1126;20.3285;1.09146
1127;20.3255;1.09102
1128;20.3225;1.09057
1129;20.3195;1.09013
1130;20.3166;1.08969
1131;20.3137;1.08925
1132;20.3108;1.08881
1133;20.3079;1.08838
1134;20.3051;1.08794
1135;20.3023;1.08751
1136;20.2995;1.08708
1137;20.2968;1.08666
1138;20.294;1.08623
1139;20.2913;1.08581
1140;20.2886;1.08539
1141;20.286;1.08497
1142;20.2834;1.08456
1143;20.2807;1.08414
1144;20.2781;1.08373
1145;20.2756;1.08332
1146;20.273;1.08291
1147;20.2705;1.08251
1148;20.268;1.0821
1149;20.2655;1.0817
1150;20.2631;1.0813
1151;20.2606;1.0809
1152;20.2582;1.0805
1153;20.2558;1.08011
1154;20.2535;1.07972
1155;20.2511;1.07933
1156;20.2488;1.07894
1157;20.2465;1.07855
1158;20.2442;1.07816
